id,source,license,lang,class_label,path,bytes,chars,has_codefence,exec_ctx,has_net_api,has_js_attr,num_calls,min_distance_to_call,contains_sql_tokens,contains_base64_like,contains_urlscheme,hash_tlsh,simhash64,duplicate_group,excluded_topics,created_at_utc
wikipedia_en_58960359,wikipedia,CC-BY-SA 4.0,en,pure_doc,samples/pure_doc/wikipedia_en_58960359.txt,900,898,0,0,0,0,0,-1,0,0,0,,bb044ccbf2456575,,,2025-11-01T19:22:24Z
wikipedia_en_71094071,wikipedia,CC-BY-SA 4.0,en,pure_doc,samples/pure_doc/wikipedia_en_71094071.txt,721,714,0,0,0,0,1,-1,0,0,0,,094172fedf4638e8,,,2025-11-01T19:22:32Z
wikipedia_en_23475876,wikipedia,CC-BY-SA 4.0,en,pure_doc,samples/pure_doc/wikipedia_en_23475876.txt,2510,2507,0,0,0,0,0,-1,0,0,0,,4fc835e446536e71,,,2025-11-01T19:22:39Z
wikipedia_en_19078338,wikipedia,CC-BY-SA 4.0,en,pure_doc,samples/pure_doc/wikipedia_en_19078338.txt,1070,1068,0,0,0,0,1,-1,0,1,0,,f00c72ac6afbf7ce,,,2025-11-01T19:22:43Z
wikipedia_en_3503576,wikipedia,CC-BY-SA 4.0,en,pure_doc,samples/pure_doc/wikipedia_en_3503576.txt,534,524,0,0,0,0,1,-1,0,0,0,,e528686cde0b84e5,,,2025-11-01T19:23:09Z
wikipedia_en_12074388,wikipedia,CC-BY-SA 4.0,en,pure_doc,samples/pure_doc/wikipedia_en_12074388.txt,1506,1446,0,0,0,0,0,-1,0,0,0,,bee99e0a563bfe05,,,2025-11-01T20:06:01Z
wikipedia_en_75894848,wikipedia,CC-BY-SA 4.0,en,pure_doc,samples/pure_doc/wikipedia_en_75894848.txt,770,770,0,0,0,0,0,-1,0,0,0,,ee4957e75e7464be,,,2025-11-01T20:06:09Z
wikipedia_en_62691119,wikipedia,CC-BY-SA 4.0,en,pure_doc,samples/pure_doc/wikipedia_en_62691119.txt,390,385,0,0,0,0,1,-1,0,0,0,,29341d8313ace240,,,2025-11-01T20:06:13Z
wikipedia_en_76351608,wikipedia,CC-BY-SA 4.0,en,pure_doc,samples/pure_doc/wikipedia_en_76351608.txt,464,464,0,0,0,0,0,-1,0,0,0,,edd97c39171587b9,,,2025-11-01T20:06:16Z
wikipedia_en_14208094,wikipedia,CC-BY-SA 4.0,en,pure_doc,samples/pure_doc/wikipedia_en_14208094.txt,2463,2444,0,0,0,0,1,-1,0,0,0,,db917ba1e2282dc0,,,2025-11-01T20:06:36Z
